Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
16,Minnesota Timberwolves,1-1,2-0,0-2,2-0,2-0,2-2,2-2,2-0,3-1,4-0,1-1,3-1,0-4,0-2,2-0,,1-1,1-1,1-1,1-1,1-3,2-2,3-1,3-1,2-2,2-0,3-1,4-0,0-2
17,New Jersey Nets,1-3,1-3,1-2,1-2,2-2,2-0,1-1,1-2,2-0,1-1,1-3,1-1,0-2,2-2,3-1,1-1,,1-3,3-2,1-3,0-2,1-1,1-1,0-2,0-2,2-2,0-2,0-2,1-3
18,New York Knicks,1-2,2-2,3-1,3-0,1-3,2-0,1-1,3-1,2-0,2-0,2-2,1-1,0-2,1-3,4-0,1-1,3-1,,3-1,3-1,1-1,2-0,1-1,1-1,2-0,1-3,0-2,2-0,2-2
19,Orlando Magic,3-0,2-2,2-2,4-0,1-2,1-1,2-0,2-2,1-1,2-0,1-2,2-0,0-2,1-3,0-4,1-1,2-3,1-3,,2-2,0-2,0-2,0-2,1-1,1-1,2-2,1-1,2-0,4-0
20,Philadelphia 76ers,4-0,3-1,1-3,4-0,4-0,2-0,0-2,2-2,2-0,1-1,2-2,1-1,0-2,1-3,3-0,1-1,3-1,1-3,2-2,,0-2,0-2,1-1,0-2,2-0,3-0,1-1,2-0,3-1
21,Phoenix Suns,2-0,1-1,1-1,2-0,2-0,1-3,3-1,2-0,4-0,2-2,1-1,4-0,0-4,1-1,1-1,3-1,2-0,1-1,2-0,2-0,,1-3,4-0,2-2,2-2,1-1,0-4,4-0,2-0
22,Portland Trail Blazers,2-0,2-0,2-0,2-0,1-1,2-2,2-2,1-1,4-0,2-2,0-2,4-0,2-2,1-1,2-0,2-2,1-1,0-2,2-0,2-0,3-1,,4-0,3-1,4-0,1-1,3-1,3-1,2-0
23,Sacramento Kings,0-2,1-1,2-0,2-0,2-0,3-1,2-2,2-0,3-1,3-1,1-1,3-1,1-3,0-2,1-1,1-3,1-1,1-1,2-0,1-1,0-4,0-4,,3-1,2-2,1-1,1-3,3-1,2-0
24,San Antonio Spurs,2-0,2-0,2-0,2-0,1-1,2-2,3-1,1-1,4-0,4-0,1-1,4-0,3-1,1-1,0-2,1-3,2-0,1-1,1-1,2-0,2-2,1-3,1-3,,2-2,1-1,2-2,4-0,1-1
25,Seattle SuperSonics,1-1,1-1,1-1,1-1,2-0,3-1,3-1,0-2,4-0,3-1,1-1,3-1,1-3,1-1,1-1,2-2,2-0,0-2,1-1,0-2,2-2,0-4,2-2,2-2,,0-2,2-2,4-0,2-0
26,Toronto Raptors,2-2,2-2,1-3,4-0,4-0,1-1,0-2,2-2,2-0,2-0,1-3,2-0,1-1,2-1,2-2,0-2,2-2,3-1,2-2,0-3,1-1,1-1,1-1,1-1,2-0,,1-1,1-1,2-2
27,Utah Jazz,2-0,1-1,2-0,2-0,2-0,3-1,2-2,2-0,4-0,3-1,0-2,4-0,1-3,1-1,1-1,1-3,2-0,2-0,1-1,1-1,4-0,1-3,3-1,2-2,2-2,1-1,,3-1,2-0
28,Vancouver Grizzlies,1-1,1-1,0-2,2-0,0-2,1-3,2-2,0-2,1-3,2-2,0-2,3-1,0-4,1-1,1-1,0-4,2-0,0-2,0-2,0-2,0-4,1-3,1-3,0-4,0-4,1-1,1-3,,1-1
29,Washington Wizards,3-1,1-3,0-3,2-2,1-3,1-1,1-1,2-2,1-1,1-1,1-2,1-1,1-1,0-4,1-3,2-0,3-1,2-2,0-4,1-3,0-2,0-2,0-2,1-1,0-2,2-2,0-2,1-1,
